Car_Id;SerialNumber;Brand;Model;Sold_Price;Driven_KM;Type;EngineV;FuelType;Safety_Features;Region;Year;Transmission;Condition;Color;Entertainment_Features;Unnamed: 16;Accident_History;Transmission.1;Condition_Score;Car_Age
1;117TUN98576;Renault;Megane;37976;110402;SUV;2.0;Petrol;ABS, Airbags;Bizerte;2006;Manual;Excellent;Red;Apple CarPlay, Navigation, Bluetooth;;Yes;Manual;3;19
2;103TUN20241;CitroÃ«n;C4;47938;92468;Hatchback;2.9;Electric;ABS, Lane Assist;Sousse;2015;Manual;Good;White;Radio, Navigation, Apple CarPlay;;Yes;Manual;2;10
3;359TUN88653;Peugeot;Partner;39483;223288;Pickup;5.0;Hybrid;ESP, ABS;GabÃ¨s;2004;Automatic;Excellent;Blue;Radio;;Yes;Automatic;3;21
4;181TUN33621;Ford;Kuga;50236;97734;Sedan;4.2;Electric;ABS;Sousse;2012;Manual;Good;Red;USB Ports, Apple CarPlay;;Yes;Manual;2;13
5;201TUN71302;Mercedes;C-Class;35518;144950;Sedan;2.0;Hybrid;ESP, Airbags;Tataouine;2010;Automatic;Average;Gray;Apple CarPlay;;Yes;Automatic;1;15
6;350TUN33657;BMW;7 Series;65832;48671;Pickup;5.5;Petrol;Airbags;Monastir;2021;Automatic;Excellent;White;Android Auto, Apple CarPlay, Navigation;;Yes;Automatic;3;4
7;893TUN71867;Mercedes;E-Class;23317;265236;Coupe;2.0;Hybrid;ABS;Sousse;2000;Automatic;Good;Black;Radio;;Yes;Automatic;2;25
8;461TUN63422;Renault;Clio;57492;7491;Sedan;2.7;Petrol;Lane Assist, ESP;Monastir;2018;Manual;Excellent;Gray;Navigation;;No;Manual;3;7
9;249TUN52507;Ford;Kuga;47339;153830;Sedan;1.5;Hybrid;Traction Control;Tataouine;2022;Automatic;Good;Blue;Radio, USB Ports, Bluetooth;;Yes;Automatic;2;3
10;128TUN47969;Peugeot;2008;36048;257877;Hatchback;1.8;Petrol;ABS, Lane Assist;Sousse;2012;Manual;Excellent;Gray;Android Auto;;Yes;Manual;3;13
11;587TUN18285;CitroÃ«n;C3;33667;47378;Sedan;1.5;Electric;Blind Spot Monitor, Traction Control;Tataouine;2005;Automatic;Average;Black;Navigation, Radio, Bluetooth;;Yes;Automatic;1;20
12;408TUN61461;Toyota;Hilux;39582;166436;Hatchback;1.79;Diesel;Blind Spot Monitor, ABS, Lane Assist;Kairouan;2014;Manual;Good;Blue;Navigation, Apple CarPlay;;Yes;Manual;2;11
13;524TUN93848;Volkswagen;Golf;49174;243357;Sedan;2.7;Electric;ESP;Monastir;2022;Automatic;Excellent;Gray;USB Ports;;Yes;Automatic;3;3
14;348TUN99801;BMW;7 Series;49929;151154;Sedan;1.8;Petrol;Traction Control;Tozeur;2023;Automatic;Excellent;Black;Bluetooth, Navigation, Apple CarPlay;;No;Automatic;3;2
15;287TUN97696;CitroÃ«n;Berlingo;37209;103312;Hatchback;4.7;Diesel;ESP;GabÃ¨s;2003;Automatic;Average;Red;Android Auto;;Yes;Automatic;1;22
16;294TUN61019;Toyota;Corolla;49262;33508;Pickup;1.5;Petrol;ABS, Blind Spot Monitor;Monastir;2016;Automatic;Excellent;Red;Radio, Android Auto, USB Ports;;Yes;Automatic;3;9
17;144TUN26899;Hyundai;Accent;33305;273635;Hatchback;2.0;Petrol;ESP, ABS;Tozeur;2011;Automatic;Excellent;Red;Android Auto, USB Ports, Bluetooth;;No;Automatic;3;14
18;880TUN44247;Kia;Rio;40054;57197;SUV;2.2;Hybrid;ESP, Lane Assist;Monastir;2005;Manual;Excellent;Blue;Android Auto, Navigation, Apple CarPlay;;No;Manual;3;20
19;611TUN59489;Mercedes;GLC;40436;113117;Coupe;2.0;Hybrid;Airbags, Blind Spot Monitor, ESP;Bizerte;2010;Manual;Excellent;White;Radio, Apple CarPlay, Navigation;;Yes;Manual;3;15
20;337TUN12171;BMW;X3;32760;266546;Sedan;2.5;Electric;Lane Assist, Airbags;Sfax;2009;Automatic;Excellent;Gray;Radio, Android Auto, Navigation;;Yes;Automatic;3;16
21;942TUN75689;BMW;X1;49609;121125;Coupe;2.4;Hybrid;Airbags, Lane Assist, Traction Control;Nabeul;2018;Automatic;Good;White;Apple CarPlay;;Yes;Automatic;2;7
22;551TUN27889;BMW;X1;33770;104069;Coupe;1.4;Electric;ABS, ESP;Tataouine;2004;Manual;Excellent;Black;Bluetooth, Radio, Android Auto;;Yes;Manual;3;21
23;608TUN99247;Volkswagen;Golf;48516;135023;Sedan;2.4;Petrol;ABS;Kairouan;2019;Manual;Good;White;Android Auto, USB Ports, Apple CarPlay;;No;Manual;2;6
24;642TUN81224;Peugeot;3008;43229;250907;Sedan;2.4;Petrol;ESP, ABS;Sousse;2021;Automatic;Good;White;Android Auto;;Yes;Automatic;2;4
25;234TUN21599;Renault;Clio;39590;9299;SUV;4.2;Petrol;ABS, Blind Spot Monitor;Sousse;2001;Manual;Average;Red;USB Ports, Radio, Apple CarPlay;;Yes;Manual;1;24
26;834TUN29010;Peugeot;Partner;31232;177573;Pickup;3.0;Electric;Airbags;Sousse;2002;Manual;Good;White;USB Ports, Navigation;;Yes;Manual;2;23
27;963TUN70655;BMW;7 Series;42309;134786;Hatchback;2.4;Diesel;ESP, ABS;Sfax;2014;Manual;Good;Gray;Radio, Android Auto, USB Ports;;No;Manual;2;11
28;483TUN38188;BMW;7 Series;39532;208861;Hatchback;2.2;Electric;ABS, Traction Control;Tozeur;2014;Manual;Good;Black;USB Ports, Navigation;;Yes;Manual;2;11
29;285TUN71912;Kia;Rio;45735;91269;Pickup;1.3;Petrol;Blind Spot Monitor, Traction Control, ESP;Monastir;2016;Manual;Excellent;White;Apple CarPlay, Bluetooth;;Yes;Manual;3;9
30;149TUN91131;BMW;3 Series;30697;276216;Pickup;4.6;Electric;Blind Spot Monitor, Lane Assist, Traction Control;Tozeur;2000;Automatic;Excellent;Blue;Radio, Navigation;;No;Automatic;3;25
31;560TUN25964;Peugeot;3008;24479;196382;SUV;2.3;Diesel;ABS, Blind Spot Monitor, Lane Assist;GabÃ¨s;2001;Manual;Average;Red;Android Auto;;Yes;Manual;1;24
